sample_number,customer_tweet_id,customer_message,support_tweet_id,support_reply,extracted_actions,action_count
1,1048068,Dear @115858 @AppleSupport my iPhone 6plus keeps dropping calls (call failed). I executed all updates. Please advise.,1048067,@333046 We want to help. Are you able to make and receive calls normally? Does the call drop in the middle of a call in all locations?,ASK_DIAGNOSTIC_QUESTION,1
2,2049896,"@AppleSupport iOS 11.0.3 causing massive battery drainage, can’t open apps without restarting phone and Bluetooth automatically turning on.",2049895,"@606187 We're here to help! In iOS 11 and later, learn how to completely disable your Bluetooth here: https://t.co/JxDWijvIa0",PROVIDE_ARTICLE,1
3,2105971,Dear @115858 @AppleSupport - you said I had an #update... now I have a black screen #DoNotLoadAppleUpdate,2105970,@151402 Let us help with your device! DM us any troubleshooting you’ve already completed. We’ll continue from there. https://t.co/GDrqU22YpT,PROVIDE_TROUBLESHOOTING | CONTACT_SUPPORT_DM,2
4,2888409,Notch = no idea if alarm is set?! Bad iPhone X! Bad @115858!,2888406,"@233953 We'd like to hear more about what's going on. Please fill us in with what's going on with your alarms, and we'll go from there.",ASK_FOR_DETAILS,1
5,1484047,i’m also really fucking annoyed the letter “eye” keeps fucking up! messing up my tweeting flow! @AppleSupport .. what is you doin!?,1484045,@117098 Let's take a look. Follow us to DM. https://t.co/GDrqU22YpT,CONTACT_SUPPORT_DM,1
6,1772563,@AppleSupport Why can’t I️ type the letter I️?,1772562,@532751 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,ANNOUNCE_FIX_UPDATE | PROVIDE_WORKAROUND,2
7,336658,"@115858 @AppleSupport yoooo this update has messed my phone up, whats going on?",336657,"@196312 We’ve got your back. What seems to be the issue you’re noticing with your iPhone? Give us some details, and we’ll help out.",ASK_FOR_DETAILS,1
8,2702821,@AppleSupport @115858 when are you going to fix the I problem in the new software? https://t.co/04HDlgu6b3,2702819,"@235828 Thanks for reaching out! We've just released iOS 11.1.1, which addresses this issue. Learn more here: https://t.co/uQeXsrrlXJ",ANNOUNCE_FIX_UPDATE | PROVIDE_ARTICLE,2
9,40534,@AppleSupport Tried that too.Didn't work.,40535,@124894 Thanks for trying. Please send us a DM and we'll continue this conversation there. https://t.co/GDrqU22YpT,CONTACT_SUPPORT_DM,1
10,2784608,@AppleSupport Yes I have. And no it doesn’t. It’s been an issue since the initial 11 update and nothing resolves it,2784610,"@247210 By any chance, are you experiencing a similar issue throughout the whole device or only when you attempt to use your keyboard? We want to make sure that we narrow down the issue between the keyboard or the overall system performance.",ASK_DIAGNOSTIC_QUESTION,1
11,1761198,"@AppleSupport The apps are unexpectedly closing it, it seems a lot slower than it did before I updated it it’s like jumpy",1761200,@509879 Alright. Does this seem to happen with any specific apps? What iOS version are you using? (Settings &gt; General &gt; About).,ASK_DIAGNOSTIC_QUESTION | ASK_FOR_DETAILS,2
12,2297603,"@AppleSupport Yes, I did. But still not work.",2297605,@666987 What country or region are you currently located in? This will help us provide the best support options. Let us know in Direct Message so we can help out. https://t.co/GDrqU22YpT,ASK_DIAGNOSTIC_QUESTION | ASK_FOR_DETAILS | CONTACT_SUPPORT_DM,3
13,2751473,"@AppleSupport I need to factory reset an iPhone, I forgotten the restrictions password though, what should I do?",2751474,@157051 We can help you with returning your iPhone to factory settings without the restrictions passcode. Use iTunes to restore your device to factory settings instead of trying in the Settings: https://t.co/ZtliqJZSGr Let us know how it goes.,PROVIDE_TROUBLESHOOTING,1
14,2109731,"@AppleSupport Wales, UK",2109732,"@622399 Thank you for letting us know! Please send us a DM, and we'll move forward from there. https://t.co/GDrqU22YpT",CONTACT_SUPPORT_DM,1
15,2552550,@AppleSupport It was 11.1,2552552,"@725039 Thank you for letting us know. To confirm, you've only begun having these issues since the iOS 11.1.1 update? Also, have you had a chance to restart since updating. Let us know in DM. https://t.co/GDrqU22YpT",RESTART_DEVICE | ASK_DIAGNOSTIC_QUESTION | CONTACT_SUPPORT_DM,3
16,2674185,@AppleSupport please make this dock go away. Soon. https://t.co/EUjUNsHL58,2674184,@752820 We are here to help whenever possible. DM where you are seeing this on your device. https://t.co/GDrqU22YpT,ASK_FOR_DETAILS | CONTACT_SUPPORT_DM,2
17,1999892,IOS 11.1 fixed nothing and created more problems. Thanks @115858 @AppleSupport,1999891,@564060 We'd love to help. What issues is your iPhone experiencing after the update? DM us details and we'll get started. https://t.co/GDrqU22YpT,ASK_FOR_DETAILS | CONTACT_SUPPORT_DM,2
18,1763771,@115858 y’all on some nut shit https://t.co/oAoCCSLq8w,1763770,@530620 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,ANNOUNCE_FIX_UPDATE | PROVIDE_WORKAROUND,2
19,2948230,@AppleSupport Have you guys fixed the I️ problem on the iPhone 6s yet? It’s been pretty annoying... Will an update fix it?,2948229,@814250 We're happy to look into this with you. What is your current iOS version? You can find it at Settings &gt; General &gt; About.,ASK_FOR_DETAILS,1
20,2902003,@AppleSupport What's with the terrible support and iMessage server being unavailable? Isn't Apple supposed to be better than every other oversized compnay that doesn't care about its customers?,2902001,"@567368 We'd be happy to take a look at this with you! To start, what model device and OS version are we working with? Also, what country are you located in?",ASK_DIAGNOSTIC_QUESTION | ASK_FOR_DETAILS,2
21,552234,I feel like I got a android @AppleSupport,552233,@248750 Thanks for reaching out to let us know. We'd be more than happy to help. Shoot us a DM with any specific details you have and we'll take it from there. https://t.co/GDrqU22YpT,ASK_FOR_DETAILS | CONTACT_SUPPORT_DM,2
22,2985588,Hey Steve I can’t add a fingerprint the page just keeps turning into this @AppleSupport https://t.co/jzuNunOrFX,2985587,"@251097 We want you to be able to take advantage of the security and convenience of Touch ID. Are you setting it up for the very first time, or trying to add a new fingerprint? Have you restarted normally since encountering this behavior? Let us know in DM. https://t.co/GDrqU22YpT",ASK_DIAGNOSTIC_QUESTION | CONTACT_SUPPORT_DM,2
23,1020993,@AppleSupport Sorry where should I direct mail !,1020995,@361604 We'd like to work with you via Twitter's DM system. Here is an invitation to join us there: https://t.co/GDrqU22YpT,NO_CLEAR_ACTION,1
24,2834372,"@AppleSupport @AppleSupport thank you for your quick answer , i am running ios 11.1.2 , it happens in every app ( call , youtube ... ) , i already restored it but it didn't change anything :/",2834374,"@789009 Thank you for that information. When you restored the device, did you test it as a brand new device with no previous data restored?",ASK_DIAGNOSTIC_QUESTION,1
25,1886634,"@115858 , how is it that from the new “update” my phone now runs slower and is allergic to loading anything? Would love feed back",1886633,@562704 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,CONTACT_SUPPORT_DM,1
