example_id,customer_message,actual_intent,predicted_intent,intent_confidence,intent_correct,supported_actions,decision,decision_reason,draft_response
140,@AppleSupport Does not seem so to me. Please send me a link on how to connect.,CONNECTIVITY,SETTINGS_FEATURE,0.20576903494767673,False,,ESCALATE,"Intent confidence is 0.21, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this.
114,"@AppleSupport Nope, not in low power mode",BATTERY_POWER,APP_PROBLEM,0.18951821830347867,False,CONTACT_SUPPORT_DM,ESCALATE,"Intent confidence is 0.19, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please send us a DM with the relevant details so we can look into this with you.
17,"@AppleSupport Having VoiceOver issues. Apps are sometimes slow, or crash. Really frustrated that I can't roll back to 10.3.3 Much more stable.",IOS_UPDATE,APP_PROBLEM,0.6185741761445678,False,CONTACT_SUPPORT_DM,AUTO-HANDLE,"Intent confidence is 0.62 and historical evidence supports 1 resolution action(s), including an action observed in at least 4 retrieved cases.",Thanks for reaching out. We'd be happy to help with this. Please send us a DM with the relevant details so we can look into this with you.
76,@AppleSupport Yes. This didn’t start until after I did the most recent update. I have to restart my phone to get it charging properly.,IOS_UPDATE,APP_PROBLEM,0.26958710729687463,False,CONTACT_SUPPORT_DM,ESCALATE,"Intent confidence is 0.27, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please send us a DM with the relevant details so we can look into this with you.
155,@AppleSupport Yesterday and yes. It has the latest update but no apple charger will work. Even the one that came with the phone,HARDWARE_DEVICE,IOS_UPDATE,0.23568665126283456,False,,ESCALATE,"Intent confidence is 0.24, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this.
186,@AppleSupport iCloud and I backed my phone up before I reset it and I only reset it because my phone was moving very slow since the new update.,ACCOUNT_APPLE_ID,IOS_UPDATE,0.5284761048681441,False,ASK_DIAGNOSTIC_QUESTION,ESCALATE,"Intent confidence is 0.53, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Could you tell us a little more about what is happening and when the issue started?
70,@AppleSupport Your last up date made my phone so slow now,PERFORMANCE_STABILITY,PERFORMANCE_STABILITY,0.5111199820734648,True,CONTACT_SUPPORT_DM,ESCALATE,"Intent confidence is 0.51, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please send us a DM with the relevant details so we can look into this with you.
56,@AppleSupport This is the screen it gets stuck on.  Never shuts down. Started with latest update. https://t.co/hwaVc0jPVL,PERFORMANCE_STABILITY,SCREEN_DISPLAY,0.3416695278050638,False,CONTACT_SUPPORT_DM | PROVIDE_ARTICLE,ESCALATE,"Intent confidence is 0.34, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. We can also point you to the relevant Apple Support resource for this issue. Please send us a DM with the relevant details so we can look into this with you.
19,@AppleSupport I’ve updated to the latest version and it’s still done the same. Only on that one email account and not the other 3 I use,ACCOUNT_APPLE_ID,APP_PROBLEM,0.20410502526505142,False,CONTACT_SUPPORT_DM,ESCALATE,"Intent confidence is 0.20, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please send us a DM with the relevant details so we can look into this with you.
170,@AppleSupport I've done this multiple times now and it still won't connect to the wifi,CONNECTIVITY,CONNECTIVITY,0.479702624216424,True,CONTACT_SUPPORT_DM | ASK_FOR_DETAILS,ESCALATE,"Intent confidence is 0.48, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please also share your device model and the iOS version currently installed. Please send us a DM with the relevant details so we can look into this with you.
