query_id,query_message,rank,similarity,historical_customer_tweet_id,historical_customer_message,historical_support_reply,relevance
1048068,Dear @115858 @AppleSupport my iPhone 6plus keeps dropping calls (call failed). I executed all updates. Please advise.,1,0.29,2712551,@AppleSupport iPhone 6Plus https://t.co/DpJbR3qXz1,"@761550 In iOS 11, you can turn auto-brightness on or off in Settings &gt; General &gt; Accessibility &gt; Display Accommodations. Send us a DM if you have any additional questions and we'll catch up there. https://t.co/GDrqU22YpT",0
1048068,Dear @115858 @AppleSupport my iPhone 6plus keeps dropping calls (call failed). I executed all updates. Please advise.,2,0.2864,1517811,@115858 my home button and Touch ID on my iPhone 6plus are no longer working after your recent updates. Please advise. @AppleSupport,@418233 We're sorry to hear you're having issues! Send us a DM and we can look into your options from there. https://t.co/GDrqU22YpT,0
1048068,Dear @115858 @AppleSupport my iPhone 6plus keeps dropping calls (call failed). I executed all updates. Please advise.,3,0.2764,2567109,I I️ I️ @115858 @AppleSupport please advise ugh.,"@728197 Hi there. We recently released iOS 11.1.1 to address this issue. If you haven't updated yet, you can learn how here: https://t.co/80YRnjDFDk If the issue persists, send us a DM so we can help there. https://t.co/GDrqU22YpT",0
1048068,Dear @115858 @AppleSupport my iPhone 6plus keeps dropping calls (call failed). I executed all updates. Please advise.,4,0.2489,746068,@AppleSupport An Iphone 6plus (MGAF2ZD/A),@298351 What version of iOS 11 are you currently running? You can find this information in Settings &gt; General &gt; About.,0
1048068,Dear @115858 @AppleSupport my iPhone 6plus keeps dropping calls (call failed). I executed all updates. Please advise.,5,0.2393,2780699,@AppleSupport my iPhone X keeps dropping Bluetooth. Need help. Thanks.,"@776623 You're in the right place for help! We want you to enjoy your favorite Bluetooth devices. So we can provide the best support, may we have the iOS version shown in Settings &gt; General &gt; About and have a description of what exactly happens?",2
2049896,"@AppleSupport iOS 11.0.3 causing massive battery drainage, can’t open apps without restarting phone and Bluetooth automatically turning on.",1,0.292,2345938,@AppleSupport what is with WiFi and Bluetooth automatically turning on? This new update is a security risk.,@516722 We're glad you asked. You can control Wi-Fi and Bluetooth connections two ways. Check out this article for details: https://t.co/G7BHuQnDS6,2
2049896,"@AppleSupport iOS 11.0.3 causing massive battery drainage, can’t open apps without restarting phone and Bluetooth automatically turning on.",2,0.2345,2525553,Anyone else getting massive battery drainage and overheated devices with the latest update from @115858,@719152 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,2
2049896,"@AppleSupport iOS 11.0.3 causing massive battery drainage, can’t open apps without restarting phone and Bluetooth automatically turning on.",3,0.2322,1434468,@AppleSupport @115858 massive battery drainage lag while using phone hangs. Problem with ios11 Pl help serious issues with batter drainage,@453053 Send us a DM and let us know what version of iOS 11 you're running. We'll get started there. https://t.co/GDrqU22YpT,2
2049896,"@AppleSupport iOS 11.0.3 causing massive battery drainage, can’t open apps without restarting phone and Bluetooth automatically turning on.",4,0.2307,868836,Stop automatically turning on my WiFi &amp; Bluetooth @AppleSupport @115858,@326300 You can toggle those features off from Settings &gt; Wi-Fi and Settings &gt; Bluetooth on your iPhone.,2
2049896,"@AppleSupport iOS 11.0.3 causing massive battery drainage, can’t open apps without restarting phone and Bluetooth automatically turning on.",5,0.2249,39670,@AppleSupport why does my iPhone turn on WiFi and Bluetooth automatically? 😭 #IWantToUseMyData,@124682 Are you doing it from Control Center? That would just disconnect your devices. Learn more here: https://t.co/G7BHuQnDS6,2
2105971,Dear @115858 @AppleSupport - you said I had an #update... now I have a black screen #DoNotLoadAppleUpdate,1,0.2913,1173988,Can @AppleSupport help me please as I have a black screen!!,@396127 We want to help you with this. Which device has a black screen?,2
2105971,Dear @115858 @AppleSupport - you said I had an #update... now I have a black screen #DoNotLoadAppleUpdate,2,0.2436,542509,@115858 updated my iPhone 7 to 11.1.2 and now have black screen spinning wheel every minute and it’s getting red hot,@245927 We’re glad you reached out to us today. DM us so we can look into this together. https://t.co/GDrqU22YpT,2
2105971,Dear @115858 @AppleSupport - you said I had an #update... now I have a black screen #DoNotLoadAppleUpdate,3,0.2425,2364541,@AppleSupport just got the newest update 11.1.1 and i have black screen when i want to use camera !,"@682671 We're happy to help. Does this occur within other apps that use the camera, or just the Camera app itself?",2
2105971,Dear @115858 @AppleSupport - you said I had an #update... now I have a black screen #DoNotLoadAppleUpdate,4,0.2228,1916043,@115858 what’s with the latest update. I NOW have to rebrighten my screen constantly.,@570720 Under Settings &gt; General &gt; Accessibility &gt; Display Accommodations &gt; Auto-Brightness. Is this enabled? DM us if you still need us. https://t.co/GDrqU22YpT,2
2105971,Dear @115858 @AppleSupport - you said I had an #update... now I have a black screen #DoNotLoadAppleUpdate,5,0.2121,121518,"Dear @115858 I used to have an IPhone, but after IOS 11 update now I have a SlowPhone 👌🏻@AppleSupport wont help much",@143053 Thanks for reaching out to us. We'd like to help you and look into this slowness issue further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,0
2888409,Notch = no idea if alarm is set?! Bad iPhone X! Bad @115858!,1,0.2781,857906,This new iOS is bad @115858 😐,@323723 We'd like to help if you need. Send us a DM and let us know what's going on? https://t.co/GDrqU22YpT,0
2888409,Notch = no idea if alarm is set?! Bad iPhone X! Bad @115858!,2,0.2258,1715601,@519562 @115858 I’ve had to recharge 3 times. Bad @115858. Bad.,"@519561 Battery life is definitely important. Tell us the iOS version your iPhone is on, and we’ll partner to get this resolved.",0
2888409,Notch = no idea if alarm is set?! Bad iPhone X! Bad @115858!,3,0.2193,1851692,"@AppleSupport To be honest, I have no idea if that would fix the problem, because I already updated my apps","@554221 That's okay; we understand. If the issue returns, feel free to reach out in DM and we'll take a closer look at it. https://t.co/GDrqU2kzhr",0
2888409,Notch = no idea if alarm is set?! Bad iPhone X! Bad @115858!,4,0.2141,463080,WHY IS MY IPHONE 7 PLUS EFFING UP SO BAD @115858,@225056 Let us help with your iPhone! What kind of issues are you having with it? Which version of iOS are you running? This can be found in Settings &gt; General &gt; About.,0
2888409,Notch = no idea if alarm is set?! Bad iPhone X! Bad @115858!,5,0.2126,631761,My iphone 7 keeps crashing. Ios 11 os bad. @115858 @AppleSupport,@269716 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,0
1484047,i’m also really fucking annoyed the letter “eye” keeps fucking up! messing up my tweeting flow! @AppleSupport .. what is you doin!?,1,0.4378,2003547,Fucking bug is messing up my keyboard. @115858 what is you doin!?,"@592470 Let us know in DM what you see occurring on your device, then we can work with you on this from there. https://t.co/GDrqU22YpT",1
1484047,i’m also really fucking annoyed the letter “eye” keeps fucking up! messing up my tweeting flow! @AppleSupport .. what is you doin!?,2,0.3136,1993357,@589924 @115858 Keeps fucking up my texts,"@589923 If you're having issues with your text messages, we want to help. DM us at the link below with more details please. https://t.co/GDrqU22YpT",1
1484047,i’m also really fucking annoyed the letter “eye” keeps fucking up! messing up my tweeting flow! @AppleSupport .. what is you doin!?,3,0.2999,1773691,I️ really want to know why I️ can’t type the letter I️ @115858 @AppleSupport I’m really fucking annoyed,@533075 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ,2
1484047,i’m also really fucking annoyed the letter “eye” keeps fucking up! messing up my tweeting flow! @AppleSupport .. what is you doin!?,4,0.2921,52988,@AppleSupport @127939 The letter eye,@127938 Thanks for reaching out. DM which specific iOS version you are suing at this time so we can help. https://t.co/GDrqU22YpT,1
1484047,i’m also really fucking annoyed the letter “eye” keeps fucking up! messing up my tweeting flow! @AppleSupport .. what is you doin!?,5,0.2575,1620519,I’m going insane @AppleSupport the letter “eye” keeps turning up as A?,@496652 You'll find the steps to work around this here: https://t.co/xU1AGHStV6,1
1772563,@AppleSupport Why can’t I️ type the letter I️?,1,1.0,1735963,@AppleSupport why can’t I️ type the letter I️ ??,@524121 We'd be glad to help. Take a look at this article with some steps to help with this issue: https://t.co/80YRnjDFDk,1
1772563,@AppleSupport Why can’t I️ type the letter I️?,2,1.0,1756391,@AppleSupport why can’t I️ type the letter “I️”,@528866 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1
1772563,@AppleSupport Why can’t I️ type the letter I️?,3,1.0,1532218,@AppleSupport why can’t I️ type the letter I️ ❔❔❔,@475266 We want to help. Send us a DM letting us know if you are updated to iOS 11.1. https://t.co/GDrqU22YpT,1
1772563,@AppleSupport Why can’t I️ type the letter I️?,4,1.0,1991015,@AppleSupport Why can I️ type the letter I️,@589248 Let's help with this. Please DM us the device and version of OS you're using for us to take a closer look. https://t.co/GDrqU22YpT,1
